player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
2249,2,50000,18030,6736,25234,8722,1573,39705
2249,3,50000,18916,5984,25100,8605,1622,39773
2249,4,50000,20310,6394,23296,8772,1520,39708
2249,5,50000,22732,4639,22629,9676,1632,38692
2249,6,50000,22212,8538,19250,10278,1369,38353
2249,7,50000,12895,19469,17636,11315,1163,37522
2249,8,50000,12040,5430,32530,9826,2442,37732
2249,9,50000,12037,6153,31810,9033,1906,39061
2249,K,50000,10442,5613,33945,7454,2536,40010
2249,A,50000,6267,6143,37590,5578,2410,42012
224A,2,50000,31030,6615,12355,24860,3961,21179
224A,3,50000,31587,6305,12108,26310,3955,19735
224A,4,50000,31946,6048,12006,27334,3825,18841
224A,5,50000,33677,5440,10883,29032,3456,17512
224A,6,50000,34515,5593,9892,29673,3366,16961
224A,7,50000,39027,3283,7690,27007,3897,19096
224A,8,50000,37851,5544,6605,24719,4457,20824
224A,9,50000,23119,19066,7815,19905,7384,22711
224A,K,50000,21566,5919,22515,17294,4374,28332
224A,A,50000,17876,6453,25671,12556,4369,33075
224K,2,50000,24084,6641,19275,7178,1245,41577
224K,3,50000,24753,6398,18849,7213,1185,41602
224K,4,50000,26530,5081,18389,8037,1323,40640
224K,5,50000,27366,5959,16675,8088,1177,40735
224K,6,50000,30491,4140,15369,8492,1123,40385
224K,7,50000,32125,6962,10913,9023,784,40193
224K,8,50000,18627,18197,13176,8906,836,40258
224K,9,50000,17828,4986,27186,7702,2141,40157
224K,K,50000,15929,5651,28420,6649,1815,41536
224K,A,50000,12286,6258,31456,4808,2353,42839
2252,2,50000,18344,0,31656,30359,4316,15325
2252,3,50000,19158,0,30842,30894,4251,14855
2252,4,50000,20808,0,29192,31656,4140,14204
2252,5,50000,23701,0,26299,33378,3721,12901
2252,6,50000,22878,0,27122,33983,3346,12671
2252,7,50000,13318,0,36682,30499,3913,15588
2252,8,50000,12130,0,37870,28628,4101,17271
2252,9,50000,12145,0,37855,27395,3684,18921
2252,K,50000,9939,0,40061,23409,4892,21699
2252,A,50000,6343,0,43657,17947,7998,24055
2253,2,50000,17979,0,32021,17528,2349,30123
2253,3,50000,19120,0,30880,18145,2518,29337
2253,4,50000,21321,0,28679,19066,2395,28539
2253,5,50000,23615,0,26385,20127,2018,27855
2253,6,50000,23239,0,26761,20496,2003,27501
2253,7,50000,13442,0,36558,17516,2652,29832
2253,8,50000,12268,0,37732,15812,3101,31087
2253,9,50000,11735,0,38265,13872,3076,33052
2253,K,50000,9992,0,40008,12277,3273,34450
2253,A,50000,6353,0,43647,8981,3702,37317
2254,2,50000,18178,0,31822,15790,2354,31856
2254,3,50000,19701,0,30299,16525,2083,31392
2254,4,50000,21365,0,28635,17107,2058,30835
2254,5,50000,23779,0,26221,18140,1882,29978
2254,6,50000,23184,0,26816,18268,1910,29822
2254,7,50000,13384,0,36616,16059,2483,31458
2254,8,50000,11788,0,38212,14385,2642,32973
2254,9,50000,11772,0,38228,14044,3041,32915
2254,K,50000,10125,0,39875,11381,3243,35376
2254,A,50000,6248,0,43752,8555,3499,37946
2255,2,50000,18693,0,31307,13879,2393,33728
2255,3,50000,20015,0,29985,14206,2163,33631
2255,4,50000,21460,0,28540,14858,1883,33259
2255,5,50000,23725,0,26275,15748,1834,32418
2255,6,50000,23341,0,26659,15946,1883,32171
2255,7,50000,13076,0,36924,13945,2918,33137
2255,8,50000,11981,0,38019,13536,2895,33569
2255,9,50000,11800,0,38200,12584,2430,34986
2255,K,50000,10004,0,39996,10331,3194,36475
2255,A,50000,6309,0,43691,7680,3456,38864
2256,2,50000,18587,0,31413,11816,1992,36192
2256,3,50000,19758,0,30242,12004,1936,36060
2256,4,50000,21458,0,28542,12442,1805,35753
2256,5,50000,23461,0,26539,13381,1594,35025
2256,6,50000,22561,0,27439,13223,1694,35083
2256,7,50000,12946,0,37054,13741,2139,34120
2256,8,50000,11911,0,38089,12077,2852,35071
2256,9,50000,11560,0,38440,10711,2905,36384
2256,K,50000,9859,0,40141,8828,2730,38442
2256,A,50000,6711,0,43289,6608,2917,40475
2257,2,50000,18538,0,31462,10625,2132,37243
2257,3,50000,19563,0,30437,11013,2050,36937
2257,4,50000,21241,0,28759,11208,1891,36901
