player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
44,5,50000,22479,0,27521,25579,2925,21496
44,6,50000,22183,0,27817,25857,2935,21208
44,7,50000,13237,0,36763,21530,4172,24298
44,8,50000,11629,0,38371,15949,6777,27274
44,9,50000,11391,0,38609,14534,3731,31735
44,K,50000,10510,0,39490,13052,2785,34163
44,A,50000,6390,0,43610,9376,2973,37651
45,2,50000,18234,0,31766,24620,3784,21596
45,3,50000,19756,0,30244,25636,3516,20848
45,4,50000,21382,0,28618,27158,3339,19503
45,5,50000,22688,0,27312,28531,3126,18343
45,6,50000,22092,0,27908,28841,3343,17816
45,7,50000,13348,0,36652,25532,3665,20803
45,8,50000,11678,0,38322,22800,4402,22798
45,9,50000,11380,0,38620,18008,6757,25235
45,K,50000,10364,0,39636,15872,4185,29943
45,A,50000,6330,0,43670,12245,3573,34182
46,2,50000,17842,0,32158,28430,4192,17378
46,3,50000,19688,0,30312,29196,4081,16723
46,4,50000,21136,0,28864,30221,3822,15957
46,5,50000,22569,0,27431,31685,3453,14862
46,6,50000,21405,0,28595,31608,3538,14854
46,7,50000,13166,0,36834,29314,3572,17114
46,8,50000,11714,0,38286,27084,3570,19346
46,9,50000,11561,0,38439,25053,4341,20606
46,K,50000,10335,0,39665,19947,6318,23735
46,A,50000,6808,0,43192,15646,4862,29492
47,2,50000,17994,0,32006,29828,4109,16063
47,3,50000,19411,0,30589,30657,3816,15527
47,4,50000,21078,0,28922,31781,3523,14696
47,5,50000,22046,0,27954,32346,3498,14156
47,6,50000,21453,0,28547,32514,3235,14251
47,7,50000,13136,0,36864,29232,3629,17139
47,8,50000,11585,0,38415,27444,3551,19005
47,9,50000,11369,0,38631,25995,3796,20209
47,K,50000,10801,0,39199,23148,4563,22289
47,A,50000,6612,0,43388,17863,7672,24465
48,2,50000,18070,0,31930,17361,2288,30351
48,3,50000,19500,0,30500,17996,2373,29631
48,4,50000,20527,0,29473,18481,2298,29221
48,5,50000,21779,0,28221,19366,2151,28483
48,6,50000,21250,0,28750,19349,2183,28468
48,7,50000,12902,0,37098,16332,2891,30777
48,8,50000,11474,0,38526,14513,3101,32386
48,9,50000,11847,0,38153,13064,2910,34026
48,K,50000,10678,0,39322,12483,2915,34602
48,A,50000,6481,0,43519,9022,3387,37591
49,2,50000,17764,0,32236,16479,2470,31051
49,3,50000,18904,0,31096,16886,2184,30930
49,4,50000,20381,0,29619,17686,2132,30182
49,5,50000,21661,0,28339,18128,2122,29750
49,6,50000,21254,0,28746,18177,2076,29747
49,7,50000,12655,0,37345,16167,2573,31260
