player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
22223AA4AA,K,50000,22195,6327,21478,0,0,50000
22223AA5AA,3,50000,37949,6379,5672,0,0,50000
22223AA5AA,4,50000,38110,6196,5694,0,0,50000
22223AA5AA,5,50000,39833,4473,5694,0,0,50000
22223AA5AA,6,50000,38918,6046,5036,0,0,50000
22223AA5AA,7,50000,41752,4146,4102,0,0,50000
22223AA5AA,8,50000,44175,2336,3489,0,0,50000
22223AA5AA,9,50000,45959,2136,1905,0,0,50000
22223AA5AA,K,50000,28611,19832,1557,0,0,50000
22223AAA33,3,50000,37917,6249,5834,1131,127,48742
22223AAA33,4,50000,37755,6294,5951,1010,132,48858
22223AAA33,5,50000,38151,5836,6013,1058,141,48801
22223AAA33,6,50000,37618,6370,6012,1046,158,48796
22223AAA33,7,50000,42188,3435,4377,1162,96,48742
22223AAA33,8,50000,44876,2315,2809,1118,68,48814
22223AAA33,9,50000,44651,3319,2030,1213,45,48742
22223AAA33,K,50000,27506,19627,2867,1230,38,48732
22223AAA33,A,50000,21874,6793,21333,0,0,50000
22223AAA3A,3,50000,25562,6499,17939,1107,148,48745
22223AAA3A,4,50000,26094,5539,18367,2168,273,47559
22223AAA3A,5,50000,27347,4944,17709,2177,282,47541
22223AAA3A,6,50000,29954,2864,17182,2152,319,47529
22223AAA3A,7,50000,36742,2275,10983,2210,245,47545
22223AAA3A,8,50000,20641,21361,7998,2379,151,47470
22223AAA3A,9,50000,19081,5223,25696,2332,100,47568
22223AAA3A,K,50000,16440,5792,27768,2304,77,47619
22223AAA4A,3,50000,31705,6249,12046,0,0,50000
22223AAA4A,4,50000,31483,6530,11987,0,0,50000
22223AAA4A,5,50000,33049,5565,11386,0,0,50000
22223AAA4A,6,50000,33038,5655,11307,0,0,50000
22223AAA4A,7,50000,39452,2744,7804,0,0,50000
22223AAA4A,8,50000,41545,2351,6104,0,0,50000
22223AAA4A,9,50000,24425,21279,4296,0,0,50000
22223AAA4A,K,50000,22174,6393,21433,0,0,50000
