player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
222236AA,5,0,50000,33155,6289,10556,1864,233,47903
222236AA,6,0,50000,33226,5367,11407,1777,260,47963
222236AA,7,0,50000,39126,2749,8125,1950,194,47856
222236AA,8,0,50000,39925,4553,5522,1982,104,47914
222236AA,9,0,50000,23435,20357,6208,2032,163,47805
222236AA,K,0,50000,21303,6152,22545,1292,868,47840
222236AA,A,0,50000,16123,6479,27398,499,136,49365
222237AA,3,0,50000,38655,5610,5735,2058,256,47686
222237AA,4,0,50000,38594,6209,5197,2092,227,47681
222237AA,5,0,50000,38816,5505,5679,2053,270,47677
222237AA,6,0,50000,38445,6001,5554,2044,259,47697
222237AA,7,0,50000,41900,3991,4109,2214,161,47625
222237AA,8,0,50000,44376,2294,3330,2177,168,47655
222237AA,9,0,50000,43758,4359,1883,2189,93,47718
222237AA,K,0,50000,26850,19173,3977,2198,143,47659
222237AA,A,0,50000,22539,6856,20605,686,491,48823
22223A33,3,0,50000,24406,6801,18793,2266,475,47259
22223A33,4,0,50000,25429,5342,19229,3127,645,46228
22223A33,5,0,50000,28062,3661,18277,3240,597,46163
22223A33,6,0,50000,32270,2408,15322,3388,403,46209
22223A33,7,0,50000,34987,5394,9619,3906,280,45814
22223A33,8,0,50000,19391,20192,10417,3995,354,45651
22223A33,9,0,50000,17858,4633,27509,2777,1466,45757
22223A33,K,0,50000,14954,5250,29796,2451,533,47016
22223A33,A,0,50000,11611,5449,32940,1419,764,47817
22223A34,3,0,50000,31123,6447,12430,2601,423,46976
22223A34,4,0,50000,30752,6518,12730,2530,434,47036
22223A34,5,0,50000,32626,5536,11838,2702,405,46893
22223A34,6,0,50000,34741,4343,10916,2686,363,46951
22223A34,7,0,50000,40456,2421,7123,3097,263,46640
22223A34,8,0,50000,39375,5609,5016,3150,162,46688
22223A34,9,0,50000,22466,20257,7277,3049,283,46668
22223A34,K,0,50000,20509,5764,23727,1866,1324,46810
22223A34,A,0,50000,16770,6066,27164,1061,295,48644
22223A35,3,0,50000,37444,6526,6030,3066,375,46559
22223A35,4,0,50000,37438,6294,6268,2962,416,46622
22223A35,5,0,50000,38995,5066,5939,3096,466,46438
22223A35,6,0,50000,39160,5807,5033,3066,365,46569
22223A35,7,0,50000,42639,3423,3938,3279,279,46442
22223A35,8,0,50000,45083,2080,2837,3322,211,46467
22223A35,9,0,50000,42846,5416,1738,3284,129,46587
22223A35,K,0,50000,26450,18643,4907,3082,251,46667
22223A35,A,0,50000,23368,6419,20213,1301,954,47745
22223A3A,3,0,50000,18729,0,31271,9214,1633,39153
22223A3A,4,0,50000,20943,0,29057,9186,1551,39263
22223A3A,5,0,50000,24579,0,25421,9181,1354,39465
22223A3A,6,0,50000,25824,0,24176,10615,1328,38057
22223A3A,7,0,50000,14716,0,35284,10828,1748,37424
22223A3A,8,0,50000,13416,0,36584,11084,992,37924
22223A3A,9,0,50000,12815,0,37185,10126,1781,38093
22223A3A,K,0,50000,10410,0,39590,8159,2676,39165
22223A3A,A,0,50000,5514,0,44486,5719,3010,41271
