player_hand,dealer_up_card,total_games,win_standing,push_standing,lost_standing,win_hitting,push_hitting,lost_hitting
2433A3A2,7,0,50000,40034,3088,6878,4122,322,45556
2433A3A2,8,0,50000,39844,4455,5701,4277,268,45455
2433A3A2,9,0,50000,22911,20212,6877,4198,249,45553
2433A3A2,K,0,50000,21362,5830,22808,3355,1096,45549
2433A3A2,A,0,50000,16924,6002,27074,1777,1165,47058
2433A3A3,2,0,50000,37695,6232,6073,1991,285,47724
2433A3A3,4,0,50000,37108,6400,6492,2050,296,47654
2433A3A3,5,0,50000,38325,5603,6072,1938,276,47786
2433A3A3,6,0,50000,38970,5213,5817,2096,274,47630
2433A3A3,7,0,50000,43565,2718,3717,2100,160,47740
2433A3A3,8,0,50000,44350,3327,2323,2228,91,47681
2433A3A3,9,0,50000,42529,4333,3138,2109,151,47740
2433A3A3,K,0,50000,27244,18805,3951,2185,141,47674
2433A3A3,A,0,50000,22918,6468,20614,669,497,48834
2433A3AA,2,0,50000,24848,6422,18730,3482,561,45957
2433A3AA,3,0,50000,24984,6405,18611,3369,551,46080
2433A3AA,4,0,50000,26552,4823,18625,4514,747,44739
2433A3AA,5,0,50000,29489,4043,16468,4519,626,44855
2433A3AA,6,0,50000,30601,4881,14518,4519,585,44896
2433A3AA,7,0,50000,35770,3826,10404,4995,412,44593
2433A3AA,8,0,50000,20038,20457,9505,5156,310,44534
2433A3AA,9,0,50000,18119,5263,26618,4676,765,44559
2433A3AA,K,0,50000,16463,5814,27723,3472,1553,44975
2433A3AA,A,0,50000,10779,6133,33088,2265,926,46809
2433A42A,2,0,50000,37440,6333,6227,2055,269,47676
2433A42A,3,0,50000,37355,6359,6286,2041,281,47678
2433A42A,4,0,50000,37439,6232,6329,2028,298,47674
2433A42A,5,0,50000,38449,5514,6037,2064,260,47676
2433A42A,6,0,50000,40023,4222,5755,2054,305,47641
2433A42A,7,0,50000,43327,3340,3333,2297,139,47564
2433A42A,8,0,50000,44135,2854,3011,2187,144,47669
2433A42A,9,0,50000,43132,4139,2729,2172,116,47712
2433A42A,K,0,50000,27355,18636,4009,2160,139,47701
2433A42A,A,0,50000,22997,6364,20639,663,487,48850
2433A4A2,2,0,50000,37689,6175,6136,1944,255,47801
2433A4A2,3,0,50000,37254,6578,6168,1951,283,47766
2433A4A2,4,0,50000,37279,6318,6403,2030,277,47693
2433A4A2,5,0,50000,38346,5560,6094,2033,274,47693
2433A4A2,6,0,50000,39904,4282,5814,2052,248,47700
2433A4A2,7,0,50000,43294,3377,3329,2188,179,47633
2433A4A2,8,0,50000,44099,2869,3032,2163,156,47681
2433A4A2,9,0,50000,43129,4100,2771,2118,144,47738
2433A4A2,K,0,50000,27197,18764,4039,2134,131,47735
2433A4A2,A,0,50000,23141,6368,20491,682,471,48847
2433A4AA,2,0,50000,31348,6422,12230,2938,436,46626
2433A4AA,3,0,50000,31428,6186,12386,4016,563,45421
2433A4AA,4,0,50000,31482,6353,12165,3966,564,45470
2433A4AA,5,0,50000,34249,4379,11372,3992,536,45472
2433A4AA,6,0,50000,35698,4212,10090,4047,524,45429
2433A4AA,7,0,50000,39839,3653,6508,4283,303,45414
2433A4AA,8,0,50000,40237,3402,6361,4193,308,45499
2433A4AA,9,0,50000,23285,20420,6295,4362,235,45403
2433A4AA,K,0,50000,22272,5956,21772,3917,643,45440
2433A4AA,A,0,50000,16757,6265,26978,1991,1449,46560
2433A5AA,2,0,50000,37816,6089,6095,1068,151,48781
2433A5AA,3,0,50000,37717,6399,5884,997,113,48890
2433A5AA,4,0,50000,37917,6023,6060,1026,143,48831
2433A5AA,5,0,50000,39605,4573,5822,1027,139,48834
2433A5AA,6,0,50000,40144,4915,4941,1071,121,48808
2433A5AA,7,0,50000,42967,3383,3650,1071,83,48846
2433A5AA,8,0,50000,43787,3213,3000,1117,64,48819
2433A5AA,9,0,50000,43923,3141,2936,1096,87,48817
2433A5AA,K,0,50000,28429,18778,2793,1103,36,48861
2433A5AA,A,0,50000,23023,6473,20504,0,0,50000
2433AA22,2,0,50000,24864,6345,18791,3466,551,45983
2433AA22,3,0,50000,24807,6732,18461,3447,528,46025
2433AA22,4,0,50000,26413,4790,18797,4335,734,44931
2433AA22,5,0,50000,28294,4547,17159,4424,705,44871
2433AA22,6,0,50000,31320,3351,15329,4525,632,44843
2433AA22,7,0,50000,35561,4480,9959,5083,389,44528
2433AA22,8,0,50000,19450,20338,10212,5011,349,44640
2433AA22,9,0,50000,18412,4807,26781,4335,1181,44484
2433AA22,K,0,50000,15781,5483,28736,3771,925,45304
2433AA22,A,0,50000,11019,5889,33092,2266,1281,46453
2433AA23,2,0,50000,30969,6457,12574,2865,443,46692
2433AA23,3,0,50000,31085,6397,12518,3759,572,45669
2433AA23,4,0,50000,31027,6308,12665,3689,588,45723
2433AA23,5,0,50000,32948,5315,11737,3733,516,45751
2433AA23,6,0,50000,35524,3497,10979,3867,554,45579
2433AA23,7,0,50000,40116,3032,6852,4015,345,45640
2433AA23,8,0,50000,39954,4419,5627,4220,248,45532
2433AA23,9,0,50000,22966,20064,6970,4234,264,45502
2433AA23,K,0,50000,21269,5783,22948,3431,1091,45478
2433AA23,A,0,50000,17046,5967,26987,1968,1104,46928
2433AA24,2,0,50000,37384,6266,6350,2078,310,47612
2433AA24,3,0,50000,37460,6352,6188,2053,279,47668
2433AA24,4,0,50000,37465,6285,6250,2040,250,47710
2433AA24,5,0,50000,38572,5437,5991,2068,265,47667
2433AA24,6,0,50000,39937,4196,5867,2087,294,47619
2433AA24,7,0,50000,43249,3316,3435,2150,185,47665
2433AA24,8,0,50000,44050,2841,3109,2176,172,47652
2433AA24,9,0,50000,43145,4163,2692,2209,125,47666
2433AA24,K,0,50000,27274,18794,3932,2163,118,47719
2433AA24,A,0,50000,23130,6478,20392,691,510,48799
2433AA2A,2,0,50000,18431,6592,24977,6118,1012,42870
2433AA2A,3,0,50000,19667,5627,24706,6072,974,42954
2433AA2A,4,0,50000,21957,4778,23265,5794,1004,43202
2433AA2A,5,0,50000,24425,4243,21332,7119,1059,41822
2433AA2A,6,0,50000,26055,4121,19824,7079,996,41925
2433AA2A,7,0,50000,15162,20696,14142,7972,585,41443
2433AA2A,8,0,50000,13287,6533,30180,7635,1010,41355
2433AA2A,9,0,50000,12652,5812,31536,6816,1442,41742
2433AA2A,K,0,50000,10735,5630,33635,5906,1527,42567
2433AA2A,A,0,50000,5281,5409,39310,3803,2032,44165
2433AA32,2,0,50000,30992,6546,12462,2751,463,46786
2433AA32,3,0,50000,31330,6322,12348,3746,560,45694
2433AA32,4,0,50000,30766,6460,12774,3787,590,45623
2433AA32,5,0,50000,33064,5213,11723,3734,527,45739
2433AA32,6,0,50000,35633,3525,10842,3870,479,45651
2433AA32,7,0,50000,40182,3033,6785,4174,343,45483
2433AA32,8,0,50000,39940,4456,5604,4321,279,45400
2433AA32,9,0,50000,23051,19981,6968,4205,285,45510
2433AA32,K,0,50000,21361,5863,22776,3416,1052,45532
2433AA32,A,0,50000,17027,5932,27041,1917,1051,47032
2433AA33,2,0,50000,37562,6127,6311,2053,283,47664
2433AA33,4,0,50000,37126,6327,6547,1996,283,47721
2433AA33,5,0,50000,38293,5600,6107,2046,292,47662
2433AA33,6,0,50000,38978,5173,5849,2115,272,47613
2433AA33,7,0,50000,43481,2852,3667,2182,156,47662
2433AA33,8,0,50000,44350,3252,2398,2242,94,47664
2433AA33,9,0,50000,42539,4345,3116,2104,129,47767
2433AA33,K,0,50000,27328,18721,3951,2188,146,47666
2433AA33,A,0,50000,23097,6414,20489,676,481,48843
2433AA3A,2,0,50000,24872,6590,18538,3460,604,45936
2433AA3A,3,0,50000,25032,6389,18579,3403,619,45978
2433AA3A,4,0,50000,26604,4785,18611,4495,709,44796
2433AA3A,5,0,50000,29325,3935,16740,4483,633,44884
2433AA3A,6,0,50000,30518,5088,14394,4503,577,44920
2433AA3A,7,0,50000,35904,3676,10420,4970,377,44653
2433AA3A,8,0,50000,19808,20665,9527,5125,310,44565
2433AA3A,9,0,50000,18254,5184,26562,4710,784,44506
2433AA3A,K,0,50000,16370,5743,27887,3471,1583,44946
2433AA3A,A,0,50000,10833,6094,33073,2217,969,46814
2433AA42,2,0,50000,37539,6153,6308,2079,267,47654
2433AA42,3,0,50000,37574,6368,6058,2034,278,47688
2433AA42,4,0,50000,37506,6268,6226,2117,275,47608
2433AA42,5,0,50000,38420,5400,6180,2044,293,47663
2433AA42,6,0,50000,40022,4176,5802,2082,299,47619
2433AA42,7,0,50000,43290,3286,3424,2111,149,47740
2433AA42,8,0,50000,44067,2812,3121,2170,148,47682
2433AA42,9,0,50000,43286,4086,2628,2203,122,47675
2433AA42,K,0,50000,27241,18746,4013,2186,133,47681
2433AA42,A,0,50000,23059,6464,20477,654,481,48865
2433AA4A,2,0,50000,31341,6467,12192,3008,444,46548
2433AA4A,3,0,50000,31456,6297,12247,3853,577,45570
2433AA4A,4,0,50000,31393,6405,12202,4080,569,45351
2433AA4A,5,0,50000,34206,4466,11328,3872,570,45558
2433AA4A,6,0,50000,35413,4367,10220,4017,583,45400
2433AA4A,7,0,50000,39854,3548,6598,4228,326,45446
2433AA4A,8,0,50000,40167,3450,6383,4297,268,45435
2433AA4A,9,0,50000,23335,20413,6252,4427,264,45309
2433AA4A,K,0,50000,22173,6044,21783,3916,609,45475
2433AA4A,A,0,50000,16875,6040,27085,2073,1468,46459
2433AA5A,2,0,50000,37443,6335,6222,1037,143,48820
2433AA5A,3,0,50000,37614,6541,5845,1070,131,48799
2433AA5A,4,0,50000,37750,6115,6135,1036,143,48821
2433AA5A,5,0,50000,39562,4603,5835,1030,140,48830
2433AA5A,6,0,50000,40126,4863,5011,1093,136,48771
2433AA5A,7,0,50000,43031,3297,3672,1070,84,48846
2433AA5A,8,0,50000,43647,3306,3047,1071,43,48886
2433AA5A,9,0,50000,43736,3175,3089,1065,66,48869
2433AA5A,K,0,50000,28176,19013,2811,1108,40,48852
2433AA5A,A,0,50000,23180,6478,20342,0,0,50000
2433AAA2,2,0,50000,18341,6651,25008,6277,1031,42692
2433AAA2,3,0,50000,19649,5695,24656,6101,1049,42850
2433AAA2,4,0,50000,21780,4717,23503,5861,985,43154
2433AAA2,5,0,50000,24491,4254,21255,6926,1059,42015
2433AAA2,6,0,50000,26066,4205,19729,7186,964,41850
2433AAA2,7,0,50000,15407,20560,14033,7848,560,41592
2433AAA2,8,0,50000,13493,6394,30113,7672,1017,41311
2433AAA2,9,0,50000,12719,5781,31500,6874,1434,41692
2433AAA2,K,0,50000,10849,5517,33634,5983,1539,42478
2433AAA2,A,0,50000,5349,5416,39235,3733,2061,44206
2433AAA3,2,0,50000,24881,6427,18692,3473,562,45965
2433AAA3,3,0,50000,24892,6512,18596,3340,570,46090
2433AAA3,4,0,50000,26362,4870,18768,4310,745,44945
2433AAA3,5,0,50000,29472,4056,16472,4504,695,44801
2433AAA3,6,0,50000,30560,4937,14503,4482,616,44902
2433AAA3,7,0,50000,35830,3712,10458,4999,458,44543
2433AAA3,8,0,50000,20075,20449,9476,5115,352,44533
2433AAA3,9,0,50000,18084,5342,26574,4636,807,44557
2433AAA3,K,0,50000,16382,5658,27960,3708,1567,44725
2433AAA3,A,0,50000,10970,6012,33018,2287,921,46792
2433AAA4,2,0,50000,31087,6471,12442,2907,492,46601
2433AAA4,3,0,50000,31380,6376,12244,3962,573,45465
2433AAA4,4,0,50000,31474,6402,12124,3995,572,45433
2433AAA4,5,0,50000,34398,4447,11155,3956,549,45495
2433AAA4,6,0,50000,35743,4205,10052,4068,485,45447
2433AAA4,7,0,50000,39850,3566,6584,4165,294,45541
2433AAA4,8,0,50000,40207,3374,6419,4259,306,45435
2433AAA4,9,0,50000,23465,20331,6204,4389,247,45364
2433AAA4,K,0,50000,22153,6025,21822,3971,606,45423
2433AAA4,A,0,50000,16905,6040,27055,2028,1460,46512
2433AAA5,2,0,50000,37765,6249,5986,1031,141,48828
2433AAA5,3,0,50000,37790,6261,5949,1057,138,48805
2433AAA5,4,0,50000,37803,6062,6135,990,144,48866
2433AAA5,5,0,50000,39558,4617,5825,1084,150,48766
2433AAA5,6,0,50000,40163,4859,4978,989,118,48893
2433AAA5,7,0,50000,43045,3340,3615,1075,87,48838
2433AAA5,8,0,50000,43662,3295,3043,1170,78,48752
2433AAA5,9,0,50000,43765,3169,3066,1062,79,48859
2433AAA5,K,0,50000,28017,19107,2876,1130,22,48848
2433AAA5,A,0,50000,23179,6473,20348,0,0,50000
2433AAAA,2,0,50000,18524,0,31476,9297,1616,39087
2433AAAA,3,0,50000,19477,0,30523,9263,1533,39204
2433AAAA,4,0,50000,22132,0,27868,9246,1460,39294
2433AAAA,5,0,50000,24016,0,25984,9453,1415,39132
2433AAAA,6,0,50000,26398,0,23602,10783,1301,37916
2433AAAA,7,0,50000,15390,0,34610,11705,927,37368
2433AAAA,8,0,50000,13611,0,36389,10778,2067,37155
2433AAAA,9,0,50000,12703,0,37297,10012,1754,38234
2433AAAA,K,0,50000,11206,0,38794,8708,2189,39103
2434222A,3,0,50000,37260,6542,6198,3100,413,46487
2434222A,4,0,50000,37315,6442,6243,3079,411,46510
2434222A,5,0,50000,38196,5523,6281,3012,435,46553
2434222A,6,0,50000,39919,4328,5753,3120,395,46485
2434222A,7,0,50000,42955,3599,3446,3240,234,46526
2434222A,8,0,50000,44544,2096,3360,3254,204,46542
2434222A,9,0,50000,42927,5199,1874,3390,124,46486
2434222A,K,0,50000,26100,18940,4960,3188,263,46549
2434222A,A,0,50000,23221,6176,20603,1301,934,47765
243422A2,3,0,50000,37368,6392,6240,3056,426,46518
243422A2,4,0,50000,37277,6489,6234,3075,452,46473
243422A2,5,0,50000,38431,5378,6191,3124,451,46425
243422A2,6,0,50000,40102,4225,5673,3212,403,46385
243422A2,7,0,50000,42842,3737,3421,3260,220,46520
243422A2,8,0,50000,44610,2083,3307,3288,243,46469
243422A2,9,0,50000,43055,5204,1741,3342,123,46535
243422A2,K,0,50000,26533,18556,4911,3173,248,46579
243422A2,A,0,50000,23213,6315,20472,1403,1021,47576
243422AA,2,0,50000,30917,6592,12491,1761,284,47955
243422AA,3,0,50000,31207,6383,12410,2706,416,46878
243422AA,4,0,50000,31448,6196,12356,2813,446,46741
243422AA,5,0,50000,33696,4832,11472,2819,382,46799
243422AA,6,0,50000,34897,5059,10044,2851,329,46820
243422AA,7,0,50000,40055,2777,7168,3070,260,46670
243422AA,8,0,50000,39617,4443,5940,3231,201,46568
243422AA,9,0,50000,23212,20262,6526,3110,208,46682
243422AA,K,0,50000,21440,5969,22591,2391,960,46649
243422AA,A,0,50000,16737,6318,26945,1267,630,48103
243423AA,2,0,50000,37457,6318,6225,1990,261,47749
243423AA,3,0,50000,37371,6507,6122,2092,292,47616
243423AA,4,0,50000,37312,6300,6388,2029,288,47683
243423AA,5,0,50000,38376,5536,6088,2035,284,47681
243423AA,6,0,50000,40037,4221,5742,2056,313,47631
243423AA,7,0,50000,43363,3298,3339,2186,150,47664
243423AA,8,0,50000,44103,2805,3092,2201,149,47650
243423AA,9,0,50000,43111,4219,2670,2258,125,47617
243423AA,K,0,50000,27346,18677,3977,2209,109,47682
243423AA,A,0,50000,23184,6396,20420,687,504,48809
24342A22,3,0,50000,37446,6381,6173,3030,399,46571
24342A22,4,0,50000,37224,6475,6301,3151,442,46407
24342A22,5,0,50000,38257,5591,6152,3074,416,46510
24342A22,6,0,50000,39965,4275,5760,3008,394,46598
24342A22,7,0,50000,42928,3691,3381,3286,248,46466
24342A22,8,0,50000,44546,2112,3342,3293,224,46483
24342A22,9,0,50000,43015,5232,1753,3408,138,46454
24342A22,K,0,50000,26248,18745,5007,3101,285,46614
24342A22,A,0,50000,23219,6134,20647,1284,944,47772
24342A2A,2,0,50000,31238,6430,12332,1780,279,47941
24342A2A,3,0,50000,31225,6365,12410,2717,482,46801
24342A2A,4,0,50000,31286,6245,12469,2843,412,46745
24342A2A,5,0,50000,33619,4829,11552,2771,383,46846
24342A2A,6,0,50000,35056,4962,9982,2960,384,46656
24342A2A,7,0,50000,40160,2920,6920,3005,251,46744
24342A2A,8,0,50000,39543,4516,5941,3176,177,46647
24342A2A,9,0,50000,23356,20224,6420,3243,208,46549
24342A2A,K,0,50000,21228,5956,22816,2382,979,46639
24342A2A,A,0,50000,16804,6332,26864,1237,638,48125
24342A3A,2,0,50000,37587,6253,6160,2039,314,47647
24342A3A,3,0,50000,37409,6390,6201,2004,262,47734
24342A3A,4,0,50000,37508,6274,6218,1966,294,47740
24342A3A,5,0,50000,38607,5415,5978,2092,298,47610
24342A3A,6,0,50000,39978,4188,5834,2125,260,47615
24342A3A,7,0,50000,43259,3399,3342,2088,147,47765
24342A3A,8,0,50000,44112,2779,3109,2146,148,47706
24342A3A,9,0,50000,43262,4123,2615,2198,114,47688
24342A3A,K,0,50000,27156,18758,4086,2239,122,47639
24342A3A,A,0,50000,23094,6325,20581,653,496,48851
24342AA2,2,0,50000,31053,6523,12424,1709,269,48022
24342AA2,3,0,50000,31218,6438,12344,2725,416,46859
24342AA2,4,0,50000,31375,6395,12230,2800,483,46717
24342AA2,5,0,50000,33853,4668,11479,2813,411,46776
24342AA2,6,0,50000,34819,5071,10110,2792,353,46855
24342AA2,7,0,50000,40041,2847,7112,3053,244,46703
24342AA2,8,0,50000,39546,4458,5996,3069,179,46752
24342AA2,9,0,50000,23188,20276,6536,3157,197,46646
24342AA2,K,0,50000,21405,6017,22578,2339,1075,46586
24342AA2,A,0,50000,16788,6254,26958,1241,588,48171
24342AA3,2,0,50000,37854,6052,6094,2085,288,47627
24342AA3,3,0,50000,37473,6377,6150,2062,276,47662
24342AA3,4,0,50000,37472,6265,6263,1989,290,47721
24342AA3,5,0,50000,38463,5449,6088,2060,288,47652
24342AA3,6,0,50000,39878,4172,5950,2116,259,47625
24342AA3,7,0,50000,43542,3205,3253,2060,169,47771
24342AA3,8,0,50000,44082,2896,3022,2248,162,47590
24342AA3,9,0,50000,43022,4281,2697,2135,127,47738
24342AA3,K,0,50000,27287,18718,3995,2186,154,47660
24342AA3,A,0,50000,23100,6312,20588,691,471,48838
24342AAA,2,0,50000,24778,6450,18772,4683,749,44568
24342AAA,3,0,50000,25063,6599,18338,4614,711,44675
24342AAA,4,0,50000,27274,4127,18599,5555,850,43595
24342AAA,5,0,50000,28895,5285,15820,5610,788,43602
24342AAA,6,0,50000,30513,4333,15154,5812,737,43451
24342AAA,7,0,50000,35845,3808,10347,6103,504,43393
24342AAA,8,0,50000,19582,20586,9832,6244,398,43358
24342AAA,9,0,50000,18522,5245,26233,5922,831,43247
24342AAA,K,0,50000,16384,5884,27732,5351,1215,43434
24342AAA,A,0,50000,10631,6109,33260,3133,1825,45042
243432AA,2,0,50000,37585,6318,6097,2103,268,47629
243432AA,3,0,50000,37546,6402,6052,2030,274,47696
243432AA,4,0,50000,37406,6381,6213,2039,289,47672
243432AA,5,0,50000,38569,5452,5979,1998,294,47708
243432AA,6,0,50000,39932,4199,5869,2026,293,47681
243432AA,7,0,50000,43337,3207,3456,2228,145,47627
243432AA,8,0,50000,44133,2837,3030,2195,152,47653
243432AA,9,0,50000,43108,4208,2684,2233,124,47643
243432AA,K,0,50000,27296,18716,3988,2226,143,47631
243432AA,A,0,50000,23028,6404,20568,639,483,48878
24343A2A,2,0,50000,37541,6208,6251,1972,301,47727
24343A2A,3,0,50000,37399,6573,6028,2157,291,47552
24343A2A,4,0,50000,37453,6307,6240,2058,267,47675
24343A2A,5,0,50000,38628,5448,5924,2131,257,47612
24343A2A,6,0,50000,39813,4284,5903,2031,237,47732
24343A2A,7,0,50000,43399,3270,3331,2166,190,47644
24343A2A,8,0,50000,44096,2849,3055,2166,152,47682
24343A2A,9,0,50000,43146,4114,2740,2191,136,47673
24343A2A,K,0,50000,27347,18681,3972,2129,146,47725
24343A2A,A,0,50000,22951,6411,20638,665,482,48853
24343AA2,2,0,50000,37521,6267,6212,2174,283,47543
24343AA2,3,0,50000,37408,6500,6092,2091,312,47597
24343AA2,4,0,50000,37433,6327,6240,2014,292,47694
24343AA2,5,0,50000,38397,5431,6172,2040,289,47671
24343AA2,6,0,50000,39708,4325,5967,2153,299,47548
24343AA2,7,0,50000,43395,3263,3342,2131,164,47705
24343AA2,8,0,50000,44155,2811,3034,2224,155,47621
24343AA2,9,0,50000,43165,4205,2630,2208,118,47674
24343AA2,K,0,50000,27389,18700,3911,2189,139,47672
24343AA2,A,0,50000,23073,6452,20475,629,484,48887
24343AAA,2,0,50000,31427,6449,12124,2839,399,46762
24343AAA,3,0,50000,31466,6058,12476,3941,554,45505
24343AAA,4,0,50000,31437,6271,12292,4057,538,45405
24343AAA,5,0,50000,34057,4530,11413,3994,542,45464
24343AAA,6,0,50000,35580,4346,10074,3984,514,45502
24343AAA,7,0,50000,39806,3559,6635,4243,298,45459
24343AAA,8,0,50000,40345,3346,6309,4346,297,45357
24343AAA,9,0,50000,23664,20237,6099,4385,245,45370
24343AAA,K,0,50000,22132,6029,21839,3893,709,45398
24343AAA,A,0,50000,17021,6154,26825,1976,1412,46612
24344AAA,2,0,50000,37711,6331,5958,1065,148,48787
24344AAA,3,0,50000,37608,6339,6053,1053,138,48809
24344AAA,4,0,50000,37892,5916,6192,1034,139,48827
24344AAA,5,0,50000,38872,5282,5846,933,144,48923
24344AAA,6,0,50000,40677,3410,5913,1012,124,48864
24344AAA,7,0,50000,43455,3569,2976,1116,75,48809
24344AAA,8,0,50000,43437,3278,3285,1108,64,48828
24344AAA,9,0,50000,43959,2950,3091,1163,81,48756
24344AAA,K,0,50000,28438,18605,2957,1105,37,48858
24344AAA,A,0,50000,23321,6225,20454,0,0,50000
2434A222,3,0,50000,37461,6538,6001,3071,417,46512
2434A222,4,0,50000,37033,6564,6403,3013,465,46522
2434A222,5,0,50000,38284,5520,6196,3050,438,46512
2434A222,6,0,50000,40053,4222,5725,3168,403,46429
2434A222,7,0,50000,42816,3664,3520,3215,232,46553
2434A222,8,0,50000,44707,2060,3233,3199,251,46550
2434A222,9,0,50000,42947,5130,1923,3467,126,46407
2434A222,K,0,50000,26418,18561,5021,3156,265,46579
2434A222,A,0,50000,23433,6138,20429,1385,990,47625
2434A22A,2,0,50000,30768,6617,12615,1743,301,47956
2434A22A,3,0,50000,31389,6405,12206,2779,443,46778
2434A22A,4,0,50000,31316,6347,12337,2699,407,46894
2434A22A,5,0,50000,33730,4624,11646,2716,392,46892
2434A22A,6,0,50000,34910,5087,10003,2829,368,46803
2434A22A,7,0,50000,40097,2866,7037,3033,250,46717
2434A22A,8,0,50000,39652,4410,5938,3059,203,46738
2434A22A,9,0,50000,23368,20245,6387,3070,173,46757
2434A22A,K,0,50000,21396,6014,22590,2319,965,46716
2434A22A,A,0,50000,16847,6268,26885,1197,652,48151
2434A23A,2,0,50000,37402,6243,6355,2017,297,47686
2434A23A,3,0,50000,37515,6384,6101,2070,256,47674
2434A23A,4,0,50000,37431,6244,6325,2001,314,47685
2434A23A,5,0,50000,38482,5493,6025,2116,249,47635
2434A23A,6,0,50000,39960,4166,5874,2012,276,47712
2434A23A,7,0,50000,43292,3241,3467,2169,141,47690
2434A23A,8,0,50000,44115,2904,2981,2174,163,47663
2434A23A,9,0,50000,43066,4220,2714,2208,119,47673
2434A23A,K,0,50000,27342,18733,3925,2216,150,47634
2434A23A,A,0,50000,23340,6295,20365,643,497,48860
2434A2A2,2,0,50000,31129,6479,12392,1765,267,47968
2434A2A2,3,0,50000,31141,6360,12499,2736,432,46832
2434A2A2,4,0,50000,31140,6361,12499,2790,441,46769
2434A2A2,5,0,50000,33780,4699,11521,2899,417,46684
2434A2A2,6,0,50000,34905,5023,10072,2929,321,46750
2434A2A2,7,0,50000,39991,2976,7033,3146,271,46583
2434A2A2,8,0,50000,39303,4614,6083,3148,210,46642
2434A2A2,9,0,50000,23209,20284,6507,3233,188,46579
2434A2A2,K,0,50000,21584,5982,22434,2402,1042,46556
2434A2A2,A,0,50000,16809,6259,26932,1201,601,48198
2434A2A3,2,0,50000,37443,6281,6276,2014,286,47700
2434A2A3,3,0,50000,37506,6463,6031,2099,312,47589
2434A2A3,4,0,50000,37417,6285,6298,2134,292,47574
2434A2A3,5,0,50000,38510,5397,6093,2043,279,47678
2434A2A3,6,0,50000,39840,4370,5790,2086,268,47646
2434A2A3,7,0,50000,43281,3327,3392,2147,154,47699
2434A2A3,8,0,50000,44093,2866,3041,2261,146,47593
2434A2A3,9,0,50000,43071,4286,2643,2119,108,47773
2434A2A3,K,0,50000,26997,18942,4061,2174,132,47694
2434A2A3,A,0,50000,22981,6401,20618,706,509,48785
2434A2AA,2,0,50000,24819,6555,18626,4747,686,44567
2434A2AA,3,0,50000,24971,6525,18504,4484,714,44802
2434A2AA,4,0,50000,27362,4034,18604,5595,920,43485
2434A2AA,5,0,50000,28828,5374,15798,5625,733,43642
2434A2AA,6,0,50000,30273,4386,15341,5713,788,43499
2434A2AA,7,0,50000,35886,3837,10277,6239,514,43247
2434A2AA,8,0,50000,19604,20674,9722,6452,407,43141
2434A2AA,9,0,50000,18562,5210,26228,5897,828,43275
2434A2AA,K,0,50000,16301,5856,27843,5004,1185,43811
2434A2AA,A,0,50000,10711,6043,33246,2920,1814,45266
2434A32A,2,0,50000,37482,6255,6263,2064,275,47661
2434A32A,3,0,50000,37429,6504,6067,2073,290,47637
2434A32A,4,0,50000,37394,6309,6297,2046,285,47669
2434A32A,5,0,50000,38409,5524,6067,1982,275,47743
2434A32A,6,0,50000,39757,4362,5881,2027,248,47725
2434A32A,7,0,50000,43398,3310,3292,2223,156,47621
2434A32A,8,0,50000,43996,2941,3063,2191,127,47682
2434A32A,9,0,50000,43086,4256,2658,2224,144,47632
2434A32A,K,0,50000,27292,18770,3938,2197,144,47659
2434A32A,A,0,50000,23275,6421,20304,701,522,48777
2434A3A2,2,0,50000,37595,6253,6152,2020,247,47733
2434A3A2,3,0,50000,37564,6359,6077,1969,261,47770
2434A3A2,4,0,50000,37460,6300,6240,2039,279,47682
2434A3A2,5,0,50000,38531,5470,5999,2070,312,47618
2434A3A2,6,0,50000,40023,4181,5796,2067,280,47653
2434A3A2,7,0,50000,43287,3344,3369,2226,162,47612
2434A3A2,8,0,50000,44091,2881,3028,2280,146,47574
2434A3A2,9,0,50000,43080,4248,2672,2196,120,47684
2434A3A2,K,0,50000,27550,18517,3933,2278,151,47571
2434A3A2,A,0,50000,23031,6268,20701,625,506,48869
2434A3AA,2,0,50000,31194,6563,12243,2910,448,46642
2434A3AA,3,0,50000,31531,6118,12351,4020,534,45446
2434A3AA,4,0,50000,31168,6384,12448,3882,568,45550
2434A3AA,5,0,50000,34124,4459,11417,3974,526,45500
2434A3AA,6,0,50000,35556,4307,10137,3910,563,45527
2434A3AA,7,0,50000,39654,3527,6819,4334,347,45319
2434A3AA,8,0,50000,40093,3358,6549,4209,321,45470
2434A3AA,9,0,50000,23327,20276,6397,4364,228,45408
2434A3AA,K,0,50000,22184,5957,21859,4056,634,45310
2434A3AA,A,0,50000,16786,6147,27067,2073,1493,46434
2434A4AA,2,0,50000,37854,5959,6187,1017,145,48838
2434A4AA,3,0,50000,37590,6299,6111,1028,140,48832
2434A4AA,4,0,50000,38005,5831,6164,1018,146,48836
2434A4AA,5,0,50000,38817,5395,5788,1029,134,48837
2434A4AA,6,0,50000,40769,3448,5783,1052,136,48812
2434A4AA,7,0,50000,43432,3559,3009,1106,65,48829
2434A4AA,8,0,50000,43224,3308,3468,1058,63,48879
2434A4AA,9,0,50000,43907,3002,3091,1087,62,48851
2434A4AA,K,0,50000,28244,18817,2939,1140,48,48812
2434A4AA,A,0,50000,23268,6153,20579,0,0,50000
2434AA22,2,0,50000,30935,6499,12566,1785,295,47920
2434AA22,3,0,50000,31239,6439,12322,2843,404,46753
